-----------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,
Server,listening,on,5201,,,,,,,,,,,,,,,,,,,,,
-----------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,connection,from,"10.45.0.14,",port,46458,,,,,,,,,,,,,,,,,,,
[,5],local,10.45.0.1,port,5201,connected,to,10.45.0.14,port,46460,,,,,,,,,,,,,,
[,5],111.00-112.00,sec,499,KBytes,4.09,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],112.00-113.00,sec,521,KBytes,4.09,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],113.00-114.00,sec,492,KBytes,4.03,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],114.00-115.00,sec,515,KBytes,4.22,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],115.00-116.00,sec,490,KBytes,4.01,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],116.00-117.00,sec,513,KBytes,4.1,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],117.00-118.00,sec,484,KBytes,3.97,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],118.00-119.00,sec,471,KBytes,3.86,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],119.00-120.00,sec,474,KBytes,3.88,Mbits/sec,,,,,,,,,,,,,,,,,
[,5],120.00-120.92,sec,473,KBytes,4.21,Mbits/sec,,,,,,,,,,,,,,,,,
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
[,ID],Interval,Transfer,Bitrate,,,,,,,,,,,,,,,,,,,,
[,5],0.00-120.92,sec,51.5,MBytes,3.48,Mbits/sec,receiver,,,,,,,,,,,,,,,,
